record_id,title,journal,author,old_doi,retraction_doi,original_paper_doi,doi_for_requesting,...7
3530,The Predictors of the Job Stress among Female Married Hospital Nurses,Industrial Health,Li Fang;Shu-Hui Fang;Yun-Ho Chung;Chin-Lin Fang,10.2486/indhealth.2014-0013,10.2486/indhealth.2014-0013e,10.2486/indhealth.2014-0013,https://api.openalex.org/W2065015826,NA
16258,The impact of comprehension versus self-enhancement goals on group perception,Social Psychology,Arne van den Bos;Diederik A Stapel,10.1027/1864-9335.39.4.244,10.1027/1864-9335/a000152,10.1027/1864-9335.39.4.244,https://api.openalex.org/W2089914536,NA
586,Profiling the different needs and expectations of patients for population-based medicine: a case study using segmentation analysis,BMC Health Services Research,Federico Lega;Alessandro Mengoni,10.1186/1472-6963-13-180,10.1186/1472-6963-12-473,10.1186/1472-6963-13-180,https://api.openalex.org/works/filter=id.doi:https://doi.org/10.1186/1472-6963-12-473,NA
4149,The effects of diffuse and distinct affect,Journal of Personality and Social Psychology,Diederik A Stapel;Willem Koomen;Kirsten I Ruys,10.1037/0022-3514.83.1.60,10.1037/a0031698,10.1037/0022-3514.83.1.60,https://api.openalex.org/works/filter=id.doi:https://doi.org/10.1037/a0031698,NA
1578,Behavioural effects of automatic interpersonal versus intergroup social comparison,British Journal of Social Psychology,EH Gordijn;Diederik A Stapel,NA,NA,NA,https://api.openalex.org/W2047627261,NA
5258,"Beauty as a tool: The effect of model attractiveness, product relevance, and elaboration likelihood on advertising effectiveness",Psychology & Marketing,Debra Trampe;Diederik A Stapel;Frans W Siero;H Mulder,10.1002/mar.20375,10.1002/mar.20565,10.1002/mar.20375,NA,NA
17007,"Considering the Relationship Between Language, Culture and Cognition to Scrutinize the Lexical Influences on Cognition",Current Psychology,Iman Tohidian;Seyed Mahmoud Mir Tabatabaie,10.1007/s12144-010-9072-z,10.1007/s12144-012-9143-4,10.1007/s12144-010-9072-z,https://api.openalex.org/W2043740068,NA
1946,A Comparison of Impulsivity and Sensation Seeking in Pathological Gamblers and Skydivers,Scandinavian Journal of Psychology,Helga Myrseth;Renate Tvera;Susanne Hagatun;Canillia Lindgren,10.1111/j.1467-9450.2011.00944.x,10.1111/j.1467-9450.2011.00917.x,10.1111/j.1467-9450.2011.00944.x,https://api.openalex.org/W1913033647,NA
2976,"Reducing the harm of stress: medications to rescue the prefrontal cortex and overcome bad habits: the science of stress: focus on the brain, breaking bad habits, and chronic disease",The Yale Journal of Biology and Medicine,Lu E Jin,NA,NA,NA,NA,NA
2506,"Norms for the Korean version of the Harvard Group Scale of Hypnotic Susceptibility, Form A",The International Journal of Clinical and Experimental Hypnosis,Young Don Pyun;Yun Joo Kim,10.1080/00207144.2012.631858,10.1080/00207140802463799,10.1080/00207144.2012.631858,https://api.openalex.org/works/filter=id.doi:https://doi.org/10.1080/00207140802463799,NA
15878,Analysis on the Influence of Self-awareness and Achievement Motivation on College Students' Academic Self-handicapping,2011 2nd IEEE International Conference on Emergency Management and Management Sciences,Kang Jing;Wang Wei,NA,10.1109/ICEMMS.2011.6015816,NA,https://api.openalex.org/works/filter=id.doi:10.1109/ICEMMS.2011.6015816,NA
15931,Analysis on the Influence of Self-handicapping on College Students' Mental Health,2011 2nd IEEE International Conference on Emergency Management and Management Sciences,Kang Jing,NA,10.1109/ICEMMS.2011.6015815,NA,https://api.openalex.org/W1588573653,NA
15795,Construction and Analysis of Life Quality Between Physical Population and Non-physical Population in College Students,2011 2nd IEEE International Conference on Emergency Management and Management Sciences,Wang Wei;Kang Jing,NA,10.1109/ICEMMS.2011.6015625,NA,https://api.openalex.org/W1548688970,NA
15938,Empirical Study of the Impact of Physical Environment on the Employees Performance,2011 2nd IEEE International Conference on Emergency Management and Management Sciences,Li Yi,NA,10.1109/ICEMMS.2011.6015612,NA,https://api.openalex.org/W1537598142,NA
15784,On Establishment of Firefighting Army 's Psychological Aid Emergency System,2011 2nd IEEE International Conference on Emergency Management and Management Sciences,Hou Yi,NA,10.1109/ICEMMS.2011.6015653,NA,https://api.openalex.org/works/filter=id.doi:http://dx.doi.org/10.1109%2FICEMMS.2011.6015653,NA
15794,Risk Factors Analysis of Information Technology Outsourcing from the Distance-based Perspective,2011 2nd IEEE International Conference on Emergency Management and Management Sciences,Ma Yajing;Fang Deying;Chen Jianbin,NA,10.1109/ICEMMS.2011.6015779,NA,https://api.openalex.org/works/filter=id.doi:https://doi.org/10.1109/ICEMMS.2011.6015779,NA
15959,The New Research on the Establishment of the Mental Health Education System for Modern College Students,2011 2nd IEEE International Conference on Emergency Management and Management Sciences,Bao Ya-wei;Wan Yun;Xu Xue-lan,NA,10.1109/ICEMMS.2011.6015748,NA,https://api.openalex.org/W1505287639,NA
15920,The Review of Emergency Management Research,2011 2nd IEEE International Conference on Emergency Management and Management Sciences,Yang Gao;Congdong Li;Yinghong Zhao,NA,10.1109/ICEMMS.2011.6015786,NA,https://api.openalex.org/works/filter=id.doi:https://doi.org/10.1109/ICEMMS.2011.6015786,NA
