record_id,title,journal,author,doi_for_requesting,original_paper_date
15959,The New Research on the Establishment of the Mental Health Education System for Modern College Students,2011 2nd IEEE International Conference on Emergency Management and Management Sciences,Bao Ya-wei;Wan Yun;Xu Xue-lan,NA,2011-08-08T00:00:00Z
15920,The Review of Emergency Management Research,2011 2nd IEEE International Conference on Emergency Management and Management Sciences,Yang Gao;Congdong Li;Yinghong Zhao,NA,2011-08-08T00:00:00Z
15299,Collective Revelry Via Network and Group Psychological Motive of Chinese Netizens,"2011 2nd Intl Conf on Artificial Intelligence, Management Science and Electronic Commerce",Huiying Liu,NA,2011-08-08T00:00:00Z
15352,"Construction of Counseling Knowledge Based on the Specialized, Professional and Expertise of University Counselors","2011 2nd Intl Conf on Artificial Intelligence, Management Science and Electronic Commerce",Zhang Ming;Fang Qinli,NA,2011-08-08T00:00:00Z
16127,Leaders' influence tactics: A study of Chinese employees,"2011 2nd Intl Conf on Artificial Intelligence, Management Science and Electronic Commerce",Jiasheng Sun,NA,2011-08-08T00:00:00Z
15208,Study of Staff Internal Mobility in HRM,"2011 2nd Intl Conf on Artificial Intelligence, Management Science and Electronic Commerce",Gao Ying;Zhou Fang,NA,2011-08-08T00:00:00Z
15345,Suggestion for University Students' Ideological and Political Education,"2011 2nd Intl Conf on Artificial Intelligence, Management Science and Electronic Commerce",Yiyou,NA,2011-08-08T00:00:00Z
15353,The Test of Full Model Between Competency and Job Performance â€” A Case of College Counselor,"2011 2nd Intl Conf on Artificial Intelligence, Management Science and Electronic Commerce",Wen-Ming Su;Wei-li Wu,NA,2011-08-08T00:00:00Z
2249,The effectiveness of Korean number naming on insight into numbers in Dutch students with mild intellectual disabilities,Research in Developmental Disabilities,Johannes E H Van Luit;MariÃ«t J Van der Molen,10.1016/j.ridd.2011.03.014,2011-04-16T00:00:00Z
4708,Improving Treatment of Adolescent Depression in Primary Care: Clinician Training Enhancements for Nonmental Health Providers and Lessons Learned From Anticipatory Guidance and Treatment Adherence Interventionsjcap_255,"Journal of Child and Adolescent Psychiatric Nursing: Official Publication of the Association of Child and Adolescent Psychiatric Nurses, Inc (JCAPN)",Scott Weber;Kathryn R Puskar;Duanxu Ren,10.1111/j.1744-6171.2010.00255.x,2010-12-07T00:00:00Z
4701,Results of psychometric testing of the RADS-2 with school-based adolescents seeking assistance for sexual orientation and gender identity concerns. Part 2: Research brief,"Journal of Child and Adolescent Psychiatric Nursing: Official Publication of the Association of Child and Adolescent Psychiatric Nurses, Inc (JCAPN)",Scott Weber,10.1111/j.1744-6171.2009.00187.x,2009-06-17T00:00:00Z
4702,Treatment of trauma- and abuse-related dissociative symptom disorders in children and adolescents,"Journal of Child and Adolescent Psychiatric Nursing: Official Publication of the Association of Child and Adolescent Psychiatric Nurses, Inc (JCAPN)",Scott Weber,10.1111/j.1744-6171.2008.00163.x,2009-02-03T00:00:00Z
15759,An Analysis and Managerial Application on Work-family Conflict,2011 International Conference on Business Management and Electronic Information,Ping Xiao;Weifen Pu,NA,2011-05-13T00:00:00Z
15443,An Empirical Research on the Influence of Psychological Contract Violations on Customer Complaint Behavior,2011 International Conference on Business Management and Electronic Information,Tang Faliang,NA,2011-05-13T00:00:00Z
15441,Analysis on Current Situation and Developing Strategy of Tourism Market of College Students in Taiyuan,2011 International Conference on Business Management and Electronic Information,Hong-xia Yan,NA,2011-05-13T00:00:00Z
15578,"Citizens' Communal Coping Strategies to unFairness in Public Administration Domain: The Effects of Gender, Education and Trust in Government",2011 International Conference on Business Management and Electronic Information,Lin Jingyu;Zhou Jie;Li Yongjuan,NA,2011-05-13T00:00:00Z
15445,Incentive Research of Enterprise Employees Based on Psychology Contract Duality Classifies Model,2011 International Conference on Business Management and Electronic Information,Yu Zhitao;Liu Fen,NA,2011-05-13T00:00:00Z
15559,Measurement and Management on the Customer-based bBand Equity,2011 International Conference on Business Management and Electronic Information,Yijing Li;Yingchao Li,NA,2011-05-13T00:00:00Z
15565,Organization-level Stress Interventions: EAP Perspective,2011 International Conference on Business Management and Electronic Information,Zhun Gong;Yong Wang;Kan Zhang,NA,2011-05-13T00:00:00Z
15805,Perceived International Risk and Adaptive Marketing Tactics â€” On the Contingent Perspective of Global Marketing Theory,2011 International Conference on Business Management and Electronic Information,Wei Li;Yiqian Wan;Hui Xu,NA,2011-05-13T00:00:00Z
15595,Research on the Application of 4Ps Marketing Theory Based on Chinese Consumer Psychology,2011 International Conference on Business Management and Electronic Information,Liangfang Huang;Lingling Wang,NA,2011-05-13T00:00:00Z
15818,Research on the Relationship Between Perceived Organizational Support and Organizational Commitment: Evidence in China Context,2011 International Conference on Business Management and Electronic Information,Liao Shao-hong;Song Chun-ling,NA,2011-05-13T00:00:00Z
15561,The Impact of Job Characteristics on Job Burnout and Work Performance of Young Employees,2011 International Conference on Business Management and Electronic Information,Ting Nie;Ling Zhang,NA,2011-05-13T00:00:00Z
9829,A Neuroscience Lens to MIS Researh: NeuroIS,2011 International Conference on E-Business and E-Government (ICEE),Qing Xu;Tong Wang;Pengshuai Chen;Qianqian Zhu;Qiang Sheng;Qingguo Ma,NA,2011-05-06T00:00:00Z
